VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,pickup_hour,pickup_date,weekday,is_weekend,trip_duration_min,trip_speed_mph,tip_pct,long_trip,high_tip,revenue_per_mile
1,2025-01-10 18:40:14,2025-01-10 18:52:42,0.0,32.1,0.0,Unknown,75,142,0,21.12,0.0,0.5,0.0,0.0,1.0,25.12,0.0,0.0,0.0,18,2025-01-10,4,False,12.466666666666667,80.0,0.0,True,False,0.7825545171339564
1,2025-01-13 08:29:18,2025-01-13 08:41:47,0.0,21.7,0.0,Unknown,263,140,0,11.32,0.0,0.5,0.0,0.0,1.0,15.32,0.0,0.0,0.0,8,2025-01-13,0,False,12.483333333333333,80.0,0.0,True,False,0.7059907834101383
1,2025-01-13 10:49:10,2025-01-13 10:59:55,0.0,19.5,0.0,Unknown,234,231,0,11.1,0.0,0.5,0.0,0.0,1.0,15.85,0.0,0.0,0.75,10,2025-01-13,0,False,10.75,80.0,0.0,True,False,0.8128205128205128
1,2025-01-14 08:54:39,2025-01-14 09:00:58,0.0,23.9,0.0,Unknown,236,75,0,10.08,0.0,0.5,0.0,0.0,1.0,14.08,0.0,0.0,0.0,8,2025-01-14,1,False,6.316666666666666,80.0,0.0,True,False,0.5891213389121339
2,2025-01-14 12:22:00,2025-01-14 12:25:00,0.0,15.71,0.0,Unknown,50,142,0,4.8,0.0,0.5,0.0,0.0,1.0,9.55,0.0,0.0,0.75,12,2025-01-14,1,False,3.0,80.0,0.0,True,False,0.6078930617441121
1,2025-01-15 07:44:23,2025-01-15 07:53:12,0.0,21.5,0.0,Unknown,170,230,0,11.5,0.0,0.5,0.0,0.0,1.0,16.25,0.0,0.0,0.75,7,2025-01-15,2,False,8.816666666666666,80.0,0.0,True,False,0.7558139534883721
2,2025-01-16 22:41:00,2025-01-16 22:48:00,0.0,18.04,0.0,Unknown,125,144,0,16.65,0.0,0.5,0.0,0.0,1.0,21.4,0.0,0.0,0.75,22,2025-01-16,3,False,7.0,80.0,0.0,True,False,1.1862527716186253
2,2025-01-17 03:34:00,2025-01-17 03:38:00,0.0,6.86,0.0,Unknown,42,42,0,4.8,0.0,0.5,0.0,0.0,1.0,6.3,0.0,0.0,0.0,3,2025-01-17,4,False,4.0,80.0,0.0,False,False,0.9183673469387754
1,2025-01-17 07:12:06,2025-01-17 07:21:19,0.0,28.2,0.0,Unknown,74,42,0,8.38,0.0,0.5,0.0,0.0,1.0,9.88,0.0,0.0,0.0,7,2025-01-17,4,False,9.216666666666667,80.0,0.0,True,False,0.3503546099290781
1,2025-01-17 07:27:50,2025-01-17 07:34:31,0.0,13.7,0.0,Unknown,48,161,0,7.29,0.0,0.5,0.0,0.0,1.0,12.04,0.0,0.0,0.75,7,2025-01-17,4,False,6.683333333333334,80.0,0.0,True,False,0.8788321167883212
1,2025-01-17 07:02:20,2025-01-17 07:08:59,0.0,39.6,0.0,Unknown,125,246,0,15.49,0.0,0.5,0.0,0.0,1.0,20.24,0.0,0.0,0.75,7,2025-01-17,4,False,6.65,80.0,0.0,True,False,0.5111111111111111
1,2025-01-17 13:55:51,2025-01-17 14:08:43,0.0,31.2,0.0,Unknown,229,237,0,7.68,0.0,0.5,0.0,0.0,1.0,12.43,0.0,0.0,0.75,13,2025-01-17,4,False,12.866666666666667,80.0,0.0,True,False,0.39839743589743587
1,2025-01-19 14:50:08,2025-01-19 14:54:59,0.0,8.5,0.0,Unknown,236,239,0,6.89,0.0,0.5,0.0,0.0,1.0,10.89,0.0,0.0,0.0,14,2025-01-19,6,True,4.85,80.0,0.0,False,False,1.2811764705882354
1,2025-01-19 15:52:44,2025-01-19 16:04:47,0.0,45.1,0.0,Unknown,139,218,0,9.39,0.0,0.5,0.0,0.0,1.0,10.89,0.0,0.0,0.0,15,2025-01-19,6,True,12.05,80.0,0.0,True,False,0.24146341463414633
1,2025-01-19 15:46:23,2025-01-19 16:04:21,0.0,33.7,0.0,Unknown,144,161,0,23.14,0.0,0.5,0.0,0.0,1.0,27.89,0.0,0.0,0.75,15,2025-01-19,6,True,17.966666666666665,80.0,0.0,True,False,0.8275964391691394
1,2025-01-21 07:57:04,2025-01-21 08:08:31,0.0,21.1,0.0,Unknown,237,263,0,10.59,0.0,0.5,0.0,0.0,1.0,14.59,0.0,0.0,0.0,7,2025-01-21,1,False,11.45,80.0,0.0,True,False,0.6914691943127962
1,2025-01-21 18:54:30,2025-01-21 19:13:09,0.0,41.1,0.0,Unknown,231,239,0,26.91,0.0,0.5,0.0,0.0,1.0,31.66,0.0,0.0,0.75,18,2025-01-21,1,False,18.65,80.0,0.0,True,False,0.770316301703163
1,2025-01-22 04:42:24,2025-01-22 04:51:36,0.0,18.2,0.0,Unknown,254,3,0,9.36,0.0,0.5,0.0,0.0,1.0,10.86,0.0,0.0,0.0,4,2025-01-22,2,False,9.2,80.0,0.0,True,False,0.5967032967032967
1,2025-01-22 06:53:18,2025-01-22 06:58:07,0.0,16.4,0.0,Unknown,74,74,0,7.85,0.0,0.5,0.0,0.0,1.0,9.35,0.0,0.0,0.0,6,2025-01-22,2,False,4.816666666666666,80.0,0.0,True,False,0.5701219512195123
1,2025-01-22 18:11:06,2025-01-22 18:21:51,0.0,18.4,0.0,Unknown,41,42,0,11.36,0.0,0.5,0.0,0.0,1.0,12.86,0.0,0.0,0.0,18,2025-01-22,2,False,10.75,80.0,0.0,True,False,0.6989130434782609
1,2025-01-23 13:00:34,2025-01-23 13:11:39,0.0,30.0,0.0,Unknown,143,100,0,15.36,0.0,0.5,0.0,0.0,1.0,20.11,0.0,0.0,0.75,13,2025-01-23,3,False,11.083333333333334,80.0,0.0,True,False,0.6703333333333333
1,2025-01-24 07:55:19,2025-01-24 08:00:40,0.0,24.3,0.0,Unknown,158,249,0,4.8,0.0,0.5,0.0,0.0,1.0,9.55,0.0,0.0,0.75,7,2025-01-24,4,False,5.35,80.0,0.0,True,False,0.3930041152263375
1,2025-01-24 09:12:36,2025-01-24 09:26:08,0.0,25.2,0.0,Unknown,68,113,0,11.4,0.0,0.5,0.0,0.0,1.0,16.15,0.0,0.0,0.75,9,2025-01-24,4,False,13.533333333333333,80.0,0.0,True,False,0.6408730158730158
1,2025-01-24 13:02:37,2025-01-24 13:14:31,0.0,31.8,0.0,Unknown,142,161,0,14.64,0.0,0.5,0.0,0.0,1.0,19.39,0.0,0.0,0.75,13,2025-01-24,4,False,11.9,80.0,0.0,True,False,0.609748427672956
2,2025-01-25 05:22:00,2025-01-25 05:29:00,0.0,13.85,0.0,Unknown,62,61,0,6.21,0.0,0.5,0.0,0.0,1.0,7.71,0.0,0.0,0.0,5,2025-01-25,5,True,7.0,80.0,0.0,True,False,0.5566787003610109
1,2025-01-25 17:55:58,2025-01-25 18:10:27,0.0,33.8,0.0,Unknown,232,170,0,16.0,0.0,0.5,0.0,0.0,1.0,20.75,0.0,0.0,0.75,17,2025-01-25,5,True,14.483333333333333,80.0,0.0,True,False,0.6139053254437871
1,2025-01-25 17:32:59,2025-01-25 17:50:11,0.0,45.5,0.0,Unknown,33,232,0,18.19,0.0,0.5,0.0,0.0,1.0,22.94,0.0,0.0,0.75,17,2025-01-25,5,True,17.2,80.0,0.0,True,False,0.5041758241758242
